state_name,sector,occupation,no_of_hh,fxd_cap_exp,hh_reporting_fxd_cap_exp,land_purchase_exp,hh_reporting_land_purchase,avg_value_assets,avg_amount_of_debt,incidence_of_indebtedness,debt_asset_ratio
Jammu & Kashmir,Rural,Cultivator,229200,79718,44100,0,0,2240648,12613,13.6,0.6
Jammu & Kashmir,Rural,Non Cultivator,3317900,84087,182200,50056,10900,565832,13427,7.9,2.4
Jammu & Kashmir,Rural,Total Cultivator and Non-cultivator,3547100,163805,226300,50056,10900,1976131,12741,12.7,0.6
Jammu & Kashmir,Urban,Cultivator,95900,60859,46100,0,0,5271920,127623,28.1,2.4
Jammu & Kashmir,Urban,Non Cultivator,1278700,187588,609000,590,100,2347122,65742,17.6,2.8
Jammu & Kashmir,Urban,Total Cultivator and Non-cultivator,1374600,248447,655100,590,100,3356102,87089,21.2,2.6
,,,,,,,,,,,
,,,,,,,,,,,
Himachal Pradesh,Rural,Cultivator,123900,60175,75200,290,100,2361199,39504,29,1.7
Himachal Pradesh,Rural,Non Cultivator,417800,35915,39900,16240,3500,960119,74888,14.4,7.8
Himachal Pradesh,Rural,Total Cultivator and Non-cultivator,541700,96090,115100,16530,3600,2071601,46818,26,2.3
Himachal Pradesh,Urban,Cultivator,82200,81076,65200,920,500,5155760,199660,22.7,3.9
Himachal Pradesh,Urban,Non Cultivator,1242900,242825,506200,0,0,2205834,81699,21.6,3.7
Himachal Pradesh,Urban,Total Cultivator and Non-cultivator,1325100,323901,571400,920,500,2978542,112598,21.9,3.8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Punjab,Rural,Cultivator,24500,4855,14200,1318,1300,8851079,120889,38.8,1.4
Punjab,Rural,Non Cultivator,210500,31492,17800,695,100,1084707,24841,29,2.3
Punjab,Rural,Total Cultivator and Non-cultivator,235000,36347,31900,2013,1400,4295371,64548,33.1,1.5
Punjab,Urban,Cultivator,438400,260210,246800,0,0,4255440,56612,19.8,1.3
Punjab,Urban,Non Cultivator,2316700,162429,582100,15941,6000,1748752,44532,17.5,2.5
Punjab,Urban,Total Cultivator and Non-cultivator,2755200,422639,828900,15941,6000,2638002,48818,18.3,1.9
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Chandigarh,Rural,Cultivator,183200,44703,90300,1447,400,7609675,6338,3.1,0.1
Chandigarh,Rural,Non Cultivator,2452100,436796,418300,0,0,1961346,6517,3.9,0.3
Chandigarh,Rural,Total Cultivator and Non-cultivator,2635300,481499,508700,1447,400,2636497,6495,3.8,0.2
Chandigarh,Urban,Cultivator,100,0,0,0,0,19611009,50262,10.4,0.3
Chandigarh,Urban,Non Cultivator,8500,396,200,0,0,4919120,64067,13.2,1.3
Chandigarh,Urban,Total Cultivator and Non-cultivator,8600,396,200,0,0,9425894,59833,12.3,0.6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Uttarakhand,Rural,Cultivator,8900,0,0,0,0,1017120,26336,31.4,2.6
Uttarakhand,Rural,Non Cultivator,217600,9342,10600,0,0,567512,62260,14.6,11
Uttarakhand,Rural,Total Cultivator and Non-cultivator,226500,9342,10600,0,0,867938,38256,25.8,4.4
Uttarakhand,Urban,Cultivator,86700,14435,51900,0,0,3278658,78738,9.8,2.4
Uttarakhand,Urban,Non Cultivator,1563100,74476,553300,92,8400,2100701,70940,19.2,3.4
Uttarakhand,Urban,Total Cultivator and Non-cultivator,1649800,88911,605200,92,8400,2764654,75335,13.9,2.7
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Haryana,Rural,Cultivator,28400,8166,21900,0,0,7246039,64926,29.8,0.9
Haryana,Rural,Non Cultivator,591400,203092,213800,236,100,1018094,20126,15.8,2
Haryana,Rural,Total Cultivator and Non-cultivator,619800,211258,235700,236,100,4616859,46013,23.9,1
Haryana,Urban,Cultivator,688100,545766,306200,47093,7500,6017531,171934,14.4,2.9
Haryana,Urban,Non Cultivator,1896800,314513,283900,1225,400,2882539,97615,11.9,3.4
Haryana,Urban,Total Cultivator and Non-cultivator,2584900,860279,590200,48318,7900,3678210,116478,12.5,3.2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Delhi,Rural,Cultivator,150500,18303,36300,0,0,16720715,6957,3,0
Delhi,Rural,Non Cultivator,2425900,113779,167800,36009,2500,8252471,3439,3.4,0
Delhi,Rural,Total Cultivator and Non-cultivator,2576400,132082,204100,36009,2500,11126311,4633,3.3,0
Delhi,Urban,Cultivator,6400,105,100,0,0,3669744,24947,5.9,0.7
Delhi,Urban,Non Cultivator,55600,684,6100,0,0,1984406,36554,5.4,1.8
Delhi,Urban,Total Cultivator and Non-cultivator,62000,789,6200,0,0,2481554,33130,5.6,1.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rajasthan,Rural,Cultivator,13500,0,0,0,0,1201289,52150,40.6,4.3
Rajasthan,Rural,Non Cultivator,3341400,113461,139400,0,0,541923,28483,24.5,5.3
Rajasthan,Rural,Total Cultivator and Non-cultivator,3354900,113461,139400,0,0,1068880,47397,37.4,4.4
Rajasthan,Urban,Cultivator,2720100,716702,1293000,39606,11300,2229595,68862,23.7,3.1
Rajasthan,Urban,Non Cultivator,5551900,898170,2029000,43666,14800,1767805,45055,21.9,2.5
Rajasthan,Urban,Total Cultivator and Non-cultivator,8272000,1614872,3322000,83272,26200,1943393,54107,22.6,2.8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Uttar Pradesh,Rural,Cultivator,362100,65955,128200,1540,700,1255775,25805,32.2,2.1
Uttar Pradesh,Rural,Non Cultivator,2878800,424748,417800,49429,9200,414049,11616,21.8,2.8
Uttar Pradesh,Rural,Total Cultivator and Non-cultivator,3240900,490703,546000,50970,9800,1041901,22199,29.6,2.1
Uttar Pradesh,Urban,Cultivator,2682500,555478,1681600,78519,21000,2235388,52118,17.2,2.3
Uttar Pradesh,Urban,Non Cultivator,21447900,1679187,9278900,92518,21900,1733209,111072,20.1,6.4
Uttar Pradesh,Urban,Total Cultivator and Non-cultivator,24130400,2234664,10960600,171036,43000,1937938,87038,18.9,4.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bihar,Rural,Cultivator,1003500,162456,429000,23816,6700,764171,19672,31.4,2.6
Bihar,Rural,Non Cultivator,7188000,1264502,1295000,160287,21400,262687,12077,26,4.6
Bihar,Rural,Total Cultivator and Non-cultivator,8191400,1426958,1723900,184103,28100,548464,16405,29.1,3
Bihar,Urban,Cultivator,582900,38723,172400,5210,1500,1892503,28200,15.7,1.5
Bihar,Urban,Non Cultivator,13478200,373015,2977700,54976,60700,1227059,19066,12.1,1.6
Bihar,Urban,Total Cultivator and Non-cultivator,14061100,411738,3150100,60186,62100,1434693,21916,13.2,1.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sikkim,Rural,Cultivator,286700,35859,78000,8,300,791426,46896,6.2,5.9
Sikkim,Rural,Non Cultivator,1839000,104285,223100,3600,500,536960,34186,8.7,6.4
Sikkim,Rural,Total Cultivator and Non-cultivator,2125600,140144,301100,3609,800,699876,42323,7.1,6
Sikkim,Urban,Cultivator,4100,234,800,0,0,1594098,47108,14.5,3
Sikkim,Urban,Non Cultivator,111000,296,2600,0,0,1700386,64802,9.1,3.8
Sikkim,Urban,Total Cultivator and Non-cultivator,115000,530,3300,0,0,1676966,60903,10.3,3.6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arunachal Pradesh,Rural,Cultivator,300,0,0,0,0,849006,3763,5.4,0.4
Arunachal Pradesh,Rural,Non Cultivator,44800,1415,2400,188,100,678718,5357,4.1,0.8
Arunachal Pradesh,Rural,Total Cultivator and Non-cultivator,45100,1415,2400,188,100,816195,4071,5.2,0.5
Arunachal Pradesh,Urban,Cultivator,76400,2760,14600,0,0,610446,3742,8.4,0.6
Arunachal Pradesh,Urban,Non Cultivator,89500,2082,13000,146,600,828676,25491,15.1,3.1
Arunachal Pradesh,Urban,Total Cultivator and Non-cultivator,165900,4842,27700,146,600,793133,21949,14,2.8
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Nagaland,Rural,Cultivator,5500,322,2400,81,300,1419857,2271,1.8,0.2
Nagaland,Rural,Non Cultivator,50000,3187,12400,2746,1500,648460,924,0.6,0.1
Nagaland,Rural,Total Cultivator and Non-cultivator,55500,3508,14800,2827,1900,1226813,1934,1.5,0.2
Nagaland,Urban,Cultivator,85400,949,34100,134,900,1334447,1925,2,0.1
Nagaland,Urban,Non Cultivator,327400,1567,52200,245,100,2208246,7179,3.4,0.3
Nagaland,Urban,Total Cultivator and Non-cultivator,412800,2516,86300,379,1000,1932720,5522,3,0.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Manipur,Rural,Cultivator,26600,634,16000,1049,700,624050,5275,11.3,0.8
Manipur,Rural,Non Cultivator,66700,844,12800,3290,600,582719,4152,5.4,0.7
Manipur,Rural,Total Cultivator and Non-cultivator,93300,1478,28800,4339,1200,614259,5009,9.9,0.8
Manipur,Urban,Cultivator,55600,1245,16300,0,0,1185227,5952,6.9,0.5
Manipur,Urban,Non Cultivator,202800,2795,37000,0,0,1794357,9200,6.7,0.5
Manipur,Urban,Total Cultivator and Non-cultivator,258400,4039,53200,0,0,1493531,7596,6.8,0.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Mizoram,Rural,Cultivator,60800,603,9200,179,0,330010,4206,3.9,1.3
Mizoram,Rural,Non Cultivator,105600,1208,8800,0,0,594947,19084,13.3,3.2
Mizoram,Rural,Total Cultivator and Non-cultivator,166400,1811,18100,179,0,369845,6443,5.3,1.7
Mizoram,Urban,Cultivator,24500,275,6100,63,400,1280994,10529,6.8,0.8
Mizoram,Urban,Non Cultivator,69100,1215,13300,2,0,2544401,58150,21.4,2.3
Mizoram,Urban,Total Cultivator and Non-cultivator,93600,1490,19400,66,400,2067778,40185,15.9,1.9
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tripura,Rural,Cultivator,22000,552,2900,0,0,397902,3636,12,0.9
Tripura,Rural,Non Cultivator,68300,2209,7500,1790,700,196503,3705,8.6,1.9
